Date, Temperature (F)
2020 -03 -05 01:13:26,75.2 * F
2020 -03 -05 01:13:38,75.2 * F
2020 -03 -05 01:13:44,75.2 * F
2020 -03 -05 01:13:48,75.2 * F
2020 -03 -05 01:13:52,75.2 * F
2020 -03 -05 01:14:01,75.2 * F
2020 -03 -05 01:14:18,77.0 * F
2020 -03 -05 01:14:25,77.0 * F
2020 -03 -05 01:14:33,78.8 * F
2020 -03 -11 01:42:59,73.4 * F
2020 -03 -11 01:44:07,78.8 * F
2020 -03 -11 01:48:27,78.8 * F
2020 -03 -11 01:48:31,78.8 * F
2020 -03 -11 02:07:32,78.8 * F
2020 -03 -11 02:07:37,80.6 * F
2020 -03 -11 02:07:39,80.6 * F
2020 -03 -11 02:08:12,80.6 * F
2020 -03 -11 02:08:45,80.6 * F
2020 -03 -11 02:08:48,78.8 * F
2020 -03 -11 02:09:00,78.8 * F
2020 -03 -11 02:34:03,78.8 * F
2020 -03 -11 02:34:07,78.8 * F
2020 -03 -11 02:34:14,78.8 * F
2020 -03 -11 02:40:25,78.8 * F
2020-03-11 02:41:38  ,78.8 * F
2020-03-11, 02:42:54 ,78.8 * F
